Time;Channel A;Channel B
(ms);(V);(V)

-3,60021391;0,00000000;-1,73148382
-3,60001391;0,00000000;-1,73148382
-3,59981391;0,00000000;-1,71432090
-3,59961391;0,00000000;-1,73148382
-3,59941391;0,00000000;-1,73148382
-3,59921391;0,04306102;-1,73148382
-3,59901391;0,00000000;-1,73148382
-3,59881391;0,00000000;-1,73148382
-3,59861391;0,04306102;-1,73148382
-3,59841391;0,04306102;-1,73148382
-3,59821391;0,00000000;-1,73148382
-3,59801391;-0,04306102;-1,73148382
-3,59781391;0,00000000;-1,73148382
-3,59761391;0,00000000;-1,73148382
-3,59741391;0,00000000;-1,73148382
-3,59721391;0,04306102;-1,73148382
-3,59701391;-0,08627583;-1,71432090
-3,59681391;0,00000000;-1,73148382
-3,59661391;0,00000000;-1,73148382
-3,59641391;0,00000000;-1,73148382
-3,59621391;0,00000000;-1,73148382
-3,59601391;0,00000000;-1,73148382
-3,59581391;0,04306102;-1,73148382
-3,59561391;0,00000000;-1,73148382
-3,59541391;0,04306102;-1,71432090
-3,59521391;0,04306102;-1,73148382
-3,59501391;0,00000000;-1,71432090
-3,59481391;0,04306102;-1,73148382
-3,59461391;0,04306102;-1,73148382
-3,59441391;0,00000000;-1,73148382
-3,59421391;0,00000000;-1,73148382
-3,59401391;0,00000000;-1,73148382
-3,59381391;0,04306102;-1,71432090
-3,59361391;0,00000000;-1,73148382
-3,59341391;0,00000000;-1,73148382
-3,59321391;0,00000000;-1,73148382
-3,59301391;0,00000000;-1,73148382
-3,59281391;0,00000000;-1,73148382
-3,59261391;0,00000000;-1,71432090
-3,59241391;-0,08627583;-1,73148382
-3,59221391;0,04306102;-1,73148382
-3,59201391;0,00000000;-1,73148382
-3,59181391;0,00000000;-1,73148382
-3,59161391;0,04306102;-1,73148382
-3,59141391;0,00000000;-1,73148382
-3,59121391;-0,04306102;-1,73148382
-3,59101391;0,00000000;-1,73148382
-3,59081391;0,00000000;-1,73148382
-3,59061391;0,04306102;-1,73148382
-3,59041391;0,00000000;-1,71432090
-3,59021391;0,00000000;-1,73148382
-3,59001391;0,00000000;-1,73148382
-3,58981391;0,00000000;-1,73148382
-3,58961391;0,00000000;-1,73148382
-3,58941391;-0,04306102;-1,73148382
-3,58921391;0,04306102;-1,73148382
-3,58901391;0,04306102;-1,73148382
-3,58881391;0,04306102;-1,73148382
-3,58861391;0,04306102;-1,73148382
-3,58841391;0,04306102;-1,73148382
-3,58821391;0,00000000;-1,73148382
-3,58801391;-0,04306102;-1,73148382
-3,58781391;0,00000000;-1,73148382
-3,58761391;0,00000000;-1,73148382
-3,58741391;0,00000000;-1,73148382
-3,58721391;0,00000000;-1,71432090
-3,58701391;0,00000000;-1,73148382
-3,58681391;0,08627583;-1,73148382
-3,58661391;0,00000000;-1,73148382
-3,58641391;-0,04306102;-1,73148382
-3,58621391;0,00000000;-1,73148382
-3,58601391;0,04306102;-1,73148382
-3,58581391;0,00000000;-1,73148382
-3,58561391;0,00000000;-1,73148382
-3,58541391;0,00000000;-1,73148382
-3,58521391;-0,04306102;-1,73148382
-3,58501391;0,00000000;-1,73148382
-3,58481391;0,00000000;-1,73148382
-3,58461391;0,00000000;-1,73148382
-3,58441391;0,04306102;-1,73148382
-3,58421391;0,00000000;-1,73148382
-3,58401391;0,00000000;-1,73148382
-3,58381391;0,00000000;-1,73148382
-3,58361391;0,04306102;-1,73148382
-3,58341391;0,04306102;-1,73148382
-3,58321391;0,00000000;-1,73148382
-3,58301391;0,00000000;-1,73148382
-3,58281391;0,00000000;-1,73148382
-3,58261391;0,00000000;-1,73148382
-3,58241391;0,00000000;-1,73148382
-3,58221391;0,00000000;-1,73148382
-3,58201391;0,00000000;-1,73148382
-3,58181391;0,00000000;-1,73148382
-3,58161391;0,00000000;-1,73148382
-3,58141391;0,00000000;-1,73148382
-3,58121391;0,00000000;-1,73148382
-3,58101391;0,04306102;-1,73148382
-3,58081391;0,00000000;-1,73148382
-3,58061391;0,04306102;-1,73148382
-3,58041391;0,04306102;-1,71432090
-3,58021391;0,00000000;-1,73148382
-3,58001391;0,00000000;-1,73148382
-3,57981391;0,00000000;-1,73148382
-3,57961391;0,00000000;-1,73148382
-3,57941391;0,00000000;-1,73148382
-3,57921391;0,00000000;-1,73148382
-3,57901391;0,04306102;-1,73148382
-3,57881391;0,00000000;-1,73148382
-3,57861391;0,00000000;-1,73148382
-3,57841391;0,00000000;-1,74864662
-3,57821391;-0,04306102;-1,73148382
-3,57801391;0,00000000;-1,71432090
-3,57781391;0,00000000;-1,73148382
